Pod Name: kindnet-m2kzl, Node: kind-worker2, Phase: Running
Pod Name: nginx-76d6c9b8c-95wbm, Node: kind-worker2, Phase: Running
Pod Name: kube-apiserver-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-m2kzl, Node: kind-worker2, Phase: Running
Pod Name: kube-proxy-q95v4, Node: kind-worker, Phase: Running
Pod Name: kube-proxy-sngff, Node: kind-worker2, Phase: Running
Pod Name: nginx-76d6c9b8c-qdvvs, Node: kind-worker, Phase: Running
Pod Name: coredns-565d847f94-pk45q, Node: kind-control-plane, Phase: Running
Pod Name: etcd-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: coredns-565d847f94-bktp5, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-bhpfd, Node: kind-worker, Phase: Running
Pod Name: nginx-76d6c9b8c-95wbm, Node: kind-worker2, Phase: Running
Pod Name: kube-proxy-q95v4, Node: kind-worker, Phase: Running
Pod Name: kube-scheduler-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kube-scheduler-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-fw524, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-78jfd, Node: kind-control-plane, Phase: Running
Pod Name: kube-apiserver-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-sngff, Node: kind-worker2, Phase: Running
Pod Name: nginx-76d6c9b8c-qdvvs, Node: kind-worker, Phase: Running
Pod Name: coredns-565d847f94-pk45q, Node: kind-control-plane, Phase: Running
Pod Name: etcd-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: coredns-565d847f94-bktp5, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-78jfd, Node: kind-control-plane, Phase: Running
Pod Name: kube-controller-manager-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: local-path-provisioner-684f458cdd-f5mfr, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-fw524, Node: kind-control-plane, Phase: Running
Pod Name: kube-controller-manager-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-bhpfd, Node: kind-worker, Phase: Running
Pod Name: local-path-provisioner-684f458cdd-f5mfr, Node: kind-control-plane, Phase: Running
Pod Name: etcd-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: coredns-565d847f94-pk45q, Node: kind-control-plane, Phase: Running
Pod Name: coredns-565d847f94-pk45q, Node: kind-control-plane, Phase: Running
Pod Name: etcd-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: nginx-76d6c9b8c-qdvvs, Node: kind-worker, Phase: Running
Pod Name: coredns-565d847f94-bktp5, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-bhpfd, Node: kind-worker, Phase: Running
Pod Name: kindnet-78jfd, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-m2kzl, Node: kind-worker2, Phase: Running
Pod Name: kube-controller-manager-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: nginx-76d6c9b8c-95wbm, Node: kind-worker2, Phase: Running
Pod Name: kube-apiserver-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-sngff, Node: kind-worker2, Phase: Running
Pod Name: kube-scheduler-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-fw524, Node: kind-control-plane, Phase: Running
Pod Name: local-path-provisioner-684f458cdd-f5mfr, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-q95v4, Node: kind-worker, Phase: Running
Pod Name: nginx-76d6c9b8c-qdvvs, Node: kind-worker, Phase: Running
Pod Name: coredns-565d847f94-bktp5, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-bhpfd, Node: kind-worker, Phase: Running
Pod Name: kindnet-78jfd, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-m2kzl, Node: kind-worker2, Phase: Running
Pod Name: nginx-76d6c9b8c-95wbm, Node: kind-worker2, Phase: Running
Pod Name: kube-apiserver-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kube-controller-manager-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-sngff, Node: kind-worker2, Phase: Running
Pod Name: kube-scheduler-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-fw524, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-q95v4, Node: kind-worker, Phase: Running
Pod Name: local-path-provisioner-684f458cdd-f5mfr, Node: kind-control-plane, Phase: Running
Pod Name: etcd-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-sngff, Node: kind-worker2, Phase: Running
Pod Name: nginx-76d6c9b8c-95wbm, Node: kind-worker2, Phase: Running
Pod Name: nginx-76d6c9b8c-qdvvs, Node: kind-worker, Phase: Running
Pod Name: kube-controller-manager-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: coredns-565d847f94-bktp5, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-78jfd, Node: kind-control-plane, Phase: Running
Pod Name: kube-scheduler-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-bhpfd, Node: kind-worker, Phase: Running
Pod Name: local-path-provisioner-684f458cdd-f5mfr, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-m2kzl, Node: kind-worker2, Phase: Running
Pod Name: kube-proxy-fw524, Node: kind-control-plane, Phase: Running
Pod Name: kube-apiserver-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: etcd-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kube-proxy-q95v4, Node: kind-worker, Phase: Running
Pod Name: coredns-565d847f94-pk45q, Node: kind-control-plane, Phase: Running
Pod Name: coredns-565d847f94-pk45q, Node: kind-control-plane, Phase: Running
Pod Name: nginx-76d6c9b8c-95wbm, Node: kind-worker2, Phase: Running
Pod Name: kube-controller-manager-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: nginx-76d6c9b8c-qdvvs, Node: kind-worker, Phase: Running
Pod Name: coredns-565d847f94-bktp5, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-78jfd, Node: kind-control-plane, Phase: Running
Pod Name: kube-scheduler-kind-control-plane, Node: kind-control-plane, Phase: Running
Pod Name: kindnet-bhpfd, Node: kind-worker, Phase: Running
